part_id,part_name,compatible_equipment_types,stock_quantity,minimum_required_stock,procurement_lead_days,supplier,criticality,unit_cost_inr
SP-BEAR-001,Heavy Duty Bearing Set,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,16,6,9,Tata Industrial Supplies,Critical,137282
SP-GREASE-001,High Temperature Grease Cartridge,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,80,24,2,JSW Vendor Hub,Medium,75501
SP-SEAL-001,Hydraulic Pump Seal Kit,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,4,8,14,Siemens Service,Critical,58660
SP-FILTER-001,Hydraulic Suction Filter,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,18,10,5,Local MRO Store,High,37184
SP-CONTACTOR-001,Motor Power Contactor,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,7,5,8,Local MRO Store,High,153550
SP-FUSE-001,High Current Fuse Set,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,35,12,3,Siemens Service,Medium,66200
SP-FILTER-002,Cooling Water Strainer Element,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,11,10,6,Siemens Service,High,109208
SP-GASKET-001,Cooling Line Gasket Kit,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,42,16,4,JSW Vendor Hub,Medium,27226
SP-COUPLING-001,Flexible Coupling Assembly,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,3,5,18,Tata Industrial Supplies,Critical,175248
SP-BOLT-001,Foundation Bolt Kit,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,60,20,4,Siemens Service,Medium,95376
SP-OIL-001,ISO VG 220 Gear Oil Drum,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,14,8,7,Siemens Service,High,110267
SP-FILTER-003,Lubrication Line Filter,Blower; Burner; Centrifugal Pump; Compressor; Drive Unit; Electric Motor; Fan; Gearbox; Hydraulic Pump; Lubrication Pump,9,8,6,Siemens Service,High,16700
SP-GEN-013,Lubrication Pump Service Spare 013,Lubrication Pump,6,2,15,OEM Service Center,Low,33591
SP-GEN-014,Gearbox Service Spare 014,Gearbox,12,10,17,JSW Vendor Hub,Medium,25050
SP-GEN-015,Centrifugal Pump Service Spare 015,Centrifugal Pump,29,5,30,Tata Industrial Supplies,Medium,73132
SP-GEN-016,Electric Motor Service Spare 016,Electric Motor,3,12,20,Tata Industrial Supplies,Low,31982
SP-GEN-017,Blower Service Spare 017,Blower,26,9,18,JSW Vendor Hub,Medium,8685
SP-GEN-018,Blower Service Spare 018,Blower,24,2,15,OEM Service Center,Medium,38388
SP-GEN-019,Fan Service Spare 019,Fan,35,12,25,Local MRO Store,Low,25890
SP-GEN-020,Centrifugal Pump Service Spare 020,Centrifugal Pump,13,2,21,Tata Industrial Supplies,High,42104
SP-GEN-021,Hydraulic Pump Service Spare 021,Hydraulic Pump,3,11,18,JSW Vendor Hub,Low,67562
SP-GEN-022,Electric Motor Service Spare 022,Electric Motor,11,3,22,Tata Industrial Supplies,High,31828
