timestamp,equipment_id,temperature_c,vibration_mm_s,pressure_bar,rpm,current_amp,coolant_flow_lpm,operating_load_pct,anomaly_label,failure_code
2026-05-01T00:00,EQ-001,70.47,2.944,145.35,1453.9,40.86,82.18,76.02,0,
2026-05-01T00:15,EQ-001,71.3,3.129,144.11,1508.3,40.7,70.4,71.5,0,
2026-05-01T00:30,EQ-001,70.31,2.442,145.2,1471.0,45.49,74.36,88.92,0,
2026-05-01T00:45,EQ-001,65.3,2.831,141.85,1448.1,39.94,69.97,64.45,0,
2026-05-01T01:00,EQ-001,62.86,3.018,141.92,1452.8,42.96,77.76,52.54,0,
2026-05-01T01:15,EQ-001,66.48,3.758,146.08,1490.6,36.83,74.73,66.38,0,
2026-05-01T01:30,EQ-001,64.76,3.331,141.97,1491.5,39.95,80.88,43.78,0,
2026-05-01T01:45,EQ-001,65.78,3.347,147.41,1477.2,45.88,75.93,51.8,0,
2026-05-01T02:00,EQ-001,61.18,3.819,143.34,1453.9,44.64,84.18,66.14,0,
2026-05-01T02:15,EQ-001,64.81,3.347,142.2,1454.0,44.09,67.34,73.41,0,
2026-05-01T02:30,EQ-001,69.65,3.918,146.46,1434.3,40.33,78.32,79.37,0,
2026-05-01T02:45,EQ-001,70.63,2.514,143.52,1501.5,45.09,87.31,76.62,0,
2026-05-01T03:00,EQ-001,70.12,3.799,150.39,1496.1,43.66,74.05,66.93,0,
2026-05-01T03:15,EQ-001,68.76,3.079,144.87,1467.2,41.21,79.16,53.19,0,
2026-05-01T03:30,EQ-001,67.09,3.286,144.65,1463.5,43.57,87.36,58.72,0,
2026-05-01T03:45,EQ-001,70.21,3.511,133.06,1463.1,40.73,81.91,64.18,0,
2026-05-01T04:00,EQ-001,69.29,3.423,140.95,1463.4,39.55,77.15,74.45,0,
2026-05-01T04:15,EQ-001,68.27,2.945,149.08,1500.4,45.09,81.56,70.45,0,
2026-05-01T04:30,EQ-001,69.74,3.413,142.07,1508.6,45.44,87.88,74.41,0,
2026-05-01T04:45,EQ-001,68.78,3.346,144.99,1493.7,41.76,77.03,72.46,0,
2026-05-01T05:00,EQ-001,70.21,3.223,148.97,1483.3,42.58,77.68,94.87,0,
2026-05-01T05:15,EQ-001,66.66,2.802,145.95,1453.8,43.83,81.75,56.13,0,
2026-05-01T05:30,EQ-001,68.06,3.346,136.16,1455.7,41.7,79.73,75.65,0,
2026-05-01T05:45,EQ-001,65.61,3.247,142.96,1456.3,42.66,76.95,70.97,0,
2026-05-01T06:00,EQ-001,70.78,3.457,146.45,1461.2,40.13,70.64,87.55,0,
2026-05-01T06:15,EQ-001,68.08,3.127,143.38,1473.8,40.83,68.66,104,0,
2026-05-01T06:30,EQ-001,63.76,3.156,141.92,1464.7,42.43,75.09,59.02,0,
2026-05-01T06:45,EQ-001,68.08,3.279,139.04,1494.6,41.19,80.04,84.12,0,
2026-05-01T07:00,EQ-001,67.94,3.276,143.27,1509.9,43.87,80.41,76.29,0,
2026-05-01T07:15,EQ-001,64.24,2.968,143.9,1489.9,40.21,83.89,56.66,0,
2026-05-01T07:30,EQ-001,63.37,3.034,133.37,1463.3,40.9,74.95,72.05,0,
2026-05-01T07:45,EQ-001,66.76,2.992,151.76,1507.0,39.72,84.27,67.77,0,
2026-05-01T08:00,EQ-001,64.44,3.734,134.92,1492.8,39.49,77.28,50.92,0,
2026-05-01T08:15,EQ-001,71.72,2.916,144.69,1493.9,41.5,73.89,69.66,0,
2026-05-01T08:30,EQ-001,68.15,3.509,140.76,1470.0,42.65,77.16,71.23,0,
2026-05-01T08:45,EQ-001,67.77,2.956,141.4,1489.8,39.81,83.83,69.59,0,
2026-05-01T09:00,EQ-001,65.29,3.299,145.75,1496.9,44.32,76.17,74.82,0,
2026-05-01T09:15,EQ-001,65.87,2.857,141.64,1486.3,42.03,75.54,62.8,0,
2026-05-01T09:30,EQ-001,68.03,3.024,140.32,1476.6,41.47,72.65,62.4,0,
2026-05-01T09:45,EQ-001,70.81,3.214,145.59,1491.7,41.94,82.46,82.75,0,
2026-05-01T10:00,EQ-001,69.91,3.354,148.93,1472.5,39.74,82.53,93.53,0,
2026-05-01T10:15,EQ-001,70.48,3.505,145.84,1481.1,45.5,73.27,51.61,0,
2026-05-01T10:30,EQ-001,65.42,3.108,140.47,1483.4,42.27,73.93,56.92,0,
2026-05-01T10:45,EQ-001,66.47,2.753,146.69,1475.4,42.84,74.91,92.84,0,
2026-05-01T11:00,EQ-001,65.44,2.961,147.36,1469.3,43.52,80.94,58.57,0,
2026-05-01T11:15,EQ-001,71.15,3.475,148.46,1468.5,41.48,68.85,85.53,0,
2026-05-01T11:30,EQ-001,66.75,3.341,147.37,1450.0,39.97,76.25,75.79,0,
2026-05-01T11:45,EQ-001,67.85,2.796,145.21,1442.5,37.69,81.58,65.27,0,
2026-05-01T12:00,EQ-001,65.35,2.704,138.66,1471.1,41.18,82.91,55.03,0,
2026-05-01T12:15,EQ-001,67.87,3.465,150.02,1489.1,41.19,83.09,77.84,0,
2026-05-01T12:30,EQ-001,71.36,3.82,149.17,1498.8,39.82,72.43,94.99,0,
2026-05-01T12:45,EQ-001,64.11,2.992,148.9,1465.2,43.07,71.24,71.36,0,
2026-05-01T13:00,EQ-001,69.84,3.273,146.31,1517.8,44.59,73.62,65.58,0,
2026-05-01T13:15,EQ-001,67.96,3.194,145.07,1503.8,39.74,80.26,89.13,0,
2026-05-01T13:30,EQ-001,70.41,3.126,149.52,1464.2,44.29,79.76,78.81,0,
2026-05-01T13:45,EQ-001,67.48,3.263,143.4,1463.7,41.52,70.79,53.8,0,
2026-05-01T14:00,EQ-001,67.16,2.969,150.15,1493.0,43.44,85.58,93.98,0,
2026-05-01T14:15,EQ-001,65.27,3.495,148.58,1472.7,39.47,84.2,67.94,0,
2026-05-01T14:30,EQ-001,65.44,3.473,138.52,1469.3,39.75,74.81,79.49,0,
2026-05-01T14:45,EQ-001,65.72,3.453,146.33,1494.0,44.18,76.14,61.17,0,
2026-05-01T15:00,EQ-001,69.32,3.797,149.05,1510.7,44.04,83.29,73.04,0,
2026-05-01T15:15,EQ-001,68.17,3.275,145.24,1468.3,41.15,80.08,48.8,0,
2026-05-01T15:30,EQ-001,65.43,3.276,142.48,1458.9,42.79,76.36,82.92,0,
2026-05-01T15:45,EQ-001,65.55,3.298,144.95,1455.8,40.32,77.09,63.43,0,
2026-05-01T16:00,EQ-001,66.01,3.371,141.29,1540.6,40.12,74.05,77.27,0,
2026-05-01T16:15,EQ-001,66.13,3.49,153.11,1471.4,42.35,75.41,74.52,0,
2026-05-01T16:30,EQ-001,71.29,3.513,140.93,1514.3,44.32,80.43,72.0,0,
2026-05-01T16:45,EQ-001,67.47,2.922,147.1,1473.0,37.53,82.63,63.43,0,
2026-05-01T17:00,EQ-001,70.68,3.152,145.85,1504.8,42.78,79.44,74.49,0,
2026-05-01T17:15,EQ-001,70.17,3.259,152.8,1462.1,39.92,70.84,104,0,
2026-05-01T17:30,EQ-001,69.99,3.46,138.91,1502.3,44.39,77.51,78.94,0,
2026-05-01T17:45,EQ-001,69.59,3.329,147.89,1455.9,41.65,71.94,72.42,0,
2026-05-01T18:00,EQ-001,69.88,3.165,146.34,1445.4,43.72,75.66,80.21,0,
2026-05-01T18:15,EQ-001,70.7,2.935,150.39,1482.8,42.06,80.78,73.68,0,
2026-05-01T18:30,EQ-001,68.07,3.222,149.66,1475.2,41.27,79.85,55.79,0,
2026-05-01T18:45,EQ-001,65.24,3.132,150.7,1477.9,40.26,81.58,71.23,0,
2026-05-01T19:00,EQ-001,61.2,3.199,145.81,1484.9,40.21,77.25,47.91,0,
2026-05-01T19:15,EQ-001,67.05,2.635,144.33,1485.8,38.49,75.39,53.82,0,
2026-05-01T19:30,EQ-001,72.38,2.674,146.53,1452.6,39.31,85.98,82.25,0,
2026-05-01T19:45,EQ-001,66.85,3.277,147.89,1484.0,46.49,81.03,80.69,0,
2026-05-01T20:00,EQ-001,64.37,2.942,144.08,1480.3,40.7,72.58,35,0,
2026-05-01T20:15,EQ-001,70.79,2.965,148.06,1495.0,44.53,72.72,89.72,0,
2026-05-01T20:30,EQ-001,67.41,3.604,144.13,1429.6,42.07,69.08,82.14,0,
2026-05-01T20:45,EQ-001,67.64,3.06,138.31,1455.2,40.31,76.76,69.18,0,
2026-05-01T21:00,EQ-001,70.97,3.035,150.73,1449.6,43.37,77.12,88.75,0,
2026-05-01T21:15,EQ-001,69.71,2.962,148.61,1479.8,46.82,76.48,75.07,0,
2026-05-01T21:30,EQ-001,70.81,2.789,151.12,1456.5,37.54,82.27,88.5,0,
2026-05-01T21:45,EQ-001,69.23,3.109,152.13,1495.8,40.69,81.66,85.9,0,
2026-05-01T22:00,EQ-001,65.42,2.832,135.1,1453.9,44.44,72.51,55.84,0,
2026-05-01T22:15,EQ-001,64.76,3.503,145.01,1490.9,41.79,72.14,64.85,0,
2026-05-01T22:30,EQ-001,68.91,3.18,148.48,1409.8,44.22,75.53,59.34,0,
2026-05-01T22:45,EQ-001,69.09,3.21,147.97,1460.6,43.75,74.77,100.25,0,
2026-05-01T23:00,EQ-001,71.17,3.373,141.74,1475.3,42.6,67.83,88.76,0,
2026-05-01T23:15,EQ-001,69.58,2.756,150.76,1466.1,42.65,72.26,64.83,0,
2026-05-01T23:30,EQ-001,69.57,3.598,151.09,1507.8,42.42,71.87,78.3,0,
2026-05-01T23:45,EQ-001,66.38,3.046,148.32,1489.8,45.19,77.98,89.21,0,
2026-05-02T00:00,EQ-001,65.61,3.261,143.42,1511.4,41.5,70.82,50.03,0,
2026-05-02T00:15,EQ-001,65.85,3.795,146.22,1448.8,44.16,89.85,78.07,0,
2026-05-02T00:30,EQ-001,67.99,3.369,145.79,1487.6,42.98,74.53,45.95,0,
2026-05-02T00:45,EQ-001,66.36,3.885,151.87,1453.7,41.99,85.1,90.34,0,
2026-05-02T01:00,EQ-001,67.12,3.059,150.25,1466.5,41.98,80.7,65.62,0,
