delay_id,equipment_id,delay_start,delay_minutes,delay_category,production_impact,remarks
DL-0001,EQ-012,2026-05-03T04:15,11,Cooling Flow Restriction,Moderate,Delay caused by temperature rise with reduced coolant flow.
DL-0002,EQ-012,2026-05-03T19:30,53,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0003,EQ-001,2026-05-04T02:45,63,Hydraulic Leakage,Moderate,Delay caused by pressure drop with increasing pump temperature.
DL-0004,EQ-004,2026-05-05T03:15,169,Lubrication Failure,Severe,Delay caused by oil level drop with heat buildup.
DL-0005,EQ-004,2026-05-05T09:15,131,Gearbox Misalignment,Minor,Delay caused by high vibration during load changes.
DL-0006,EQ-010,2026-05-05T17:30,287,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0007,EQ-007,2026-05-06T06:45,158,Cooling Flow Restriction,Minor,Delay caused by temperature rise with reduced coolant flow.
DL-0008,EQ-012,2026-05-06T09:45,79,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0009,EQ-003,2026-05-06T13:15,172,Gearbox Misalignment,Severe,Delay caused by high vibration during load changes.
DL-0010,EQ-003,2026-05-06T14:00,140,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0011,EQ-006,2026-05-07T10:15,148,Cooling Flow Restriction,Minor,Delay caused by temperature rise with reduced coolant flow.
DL-0012,EQ-009,2026-05-08T16:30,255,Motor Overload,Severe,Delay caused by current spike and repeated overload trip.
DL-0013,EQ-005,2026-05-08T19:00,173,Cooling Flow Restriction,Minor,Delay caused by temperature rise with reduced coolant flow.
DL-0014,EQ-009,2026-05-09T06:45,46,Bearing Wear,Minor,Delay caused by rising vibration and abnormal bearing noise.
DL-0015,EQ-005,2026-05-09T10:30,251,Hydraulic Leakage,Moderate,Delay caused by pressure drop with increasing pump temperature.
DL-0016,EQ-003,2026-05-09T12:45,159,Bearing Wear,Minor,Delay caused by rising vibration and abnormal bearing noise.
DL-0017,EQ-006,2026-05-09T20:00,53,Bearing Wear,Minor,Delay caused by rising vibration and abnormal bearing noise.
DL-0018,EQ-010,2026-05-10T03:45,81,Bearing Wear,Severe,Delay caused by rising vibration and abnormal bearing noise.
DL-0019,EQ-012,2026-05-10T04:00,52,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0020,EQ-001,2026-05-10T09:00,42,Cooling Flow Restriction,Minor,Delay caused by temperature rise with reduced coolant flow.
DL-0021,EQ-009,2026-05-11T18:00,83,Motor Overload,Minor,Delay caused by current spike and repeated overload trip.
DL-0022,EQ-005,2026-05-15T10:30,165,Cooling Flow Restriction,Moderate,Delay caused by temperature rise with reduced coolant flow.
DL-0023,EQ-011,2026-05-15T13:45,152,Bearing Wear,Minor,Delay caused by rising vibration and abnormal bearing noise.
DL-0024,EQ-008,2026-05-16T04:00,269,Motor Overload,Minor,Delay caused by current spike and repeated overload trip.
DL-0025,EQ-011,2026-05-16T08:45,131,Cooling Flow Restriction,Severe,Delay caused by temperature rise with reduced coolant flow.
DL-0026,EQ-007,2026-05-16T14:45,40,Gearbox Misalignment,Moderate,Delay caused by high vibration during load changes.
DL-0027,EQ-004,2026-05-17T13:30,146,Gearbox Misalignment,Moderate,Delay caused by high vibration during load changes.
DL-0028,EQ-008,2026-05-17T18:45,83,Motor Overload,Minor,Delay caused by current spike and repeated overload trip.
DL-0029,EQ-010,2026-05-18T02:30,167,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0030,EQ-002,2026-05-19T02:45,268,Cooling Flow Restriction,Severe,Delay caused by temperature rise with reduced coolant flow.
DL-0031,EQ-007,2026-05-19T17:45,55,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0032,EQ-011,2026-05-20T07:15,265,Lubrication Failure,Moderate,Delay caused by oil level drop with heat buildup.
DL-0033,EQ-010,2026-05-20T18:45,143,Bearing Wear,Severe,Delay caused by rising vibration and abnormal bearing noise.
DL-0034,EQ-007,2026-05-20T19:00,167,Gearbox Misalignment,Moderate,Delay caused by high vibration during load changes.
DL-0035,EQ-002,2026-05-21T10:45,60,Motor Overload,Severe,Delay caused by current spike and repeated overload trip.
DL-0036,EQ-001,2026-05-23T05:30,158,Hydraulic Leakage,Severe,Delay caused by pressure drop with increasing pump temperature.
DL-0037,EQ-009,2026-05-23T11:30,275,Cooling Flow Restriction,Minor,Delay caused by temperature rise with reduced coolant flow.
DL-0038,EQ-006,2026-05-23T17:45,60,Motor Overload,Minor,Delay caused by current spike and repeated overload trip.
DL-0039,EQ-002,2026-05-23T19:15,133,Bearing Wear,Severe,Delay caused by rising vibration and abnormal bearing noise.
DL-0040,EQ-008,2026-05-24T05:30,138,Bearing Wear,Severe,Delay caused by rising vibration and abnormal bearing noise.
DL-0041,EQ-001,2026-05-24T19:15,131,Hydraulic Leakage,Severe,Delay caused by pressure drop with increasing pump temperature.
DL-0042,EQ-002,2026-05-25T15:30,61,Bearing Wear,Moderate,Delay caused by rising vibration and abnormal bearing noise.
DL-0043,EQ-011,2026-05-27T06:00,148,Cooling Flow Restriction,Moderate,Delay caused by temperature rise with reduced coolant flow.
DL-0044,EQ-008,2026-05-27T12:45,171,Cooling Flow Restriction,Moderate,Delay caused by temperature rise with reduced coolant flow.
DL-0045,EQ-003,2026-05-28T03:15,270,Cooling Flow Restriction,Moderate,Delay caused by temperature rise with reduced coolant flow.
DL-0046,EQ-006,2026-05-28T12:00,38,Motor Overload,Minor,Delay caused by current spike and repeated overload trip.
DL-0047,EQ-005,2026-05-29T03:45,80,Cooling Flow Restriction,Minor,Delay caused by temperature rise with reduced coolant flow.
DL-0048,EQ-004,2026-05-29T13:30,266,Lubrication Failure,Severe,Delay caused by oil level drop with heat buildup.
DL-0049,EQ-003,2026-05-11T01:30,12,Inspection,Moderate,Delay log associated with Blast Furnace Blower.
DL-0050,EQ-009,2026-05-27T02:30,18,Planned maintenance,Severe,Delay log associated with Scale Breaker Motor.
DL-0051,EQ-004,2026-05-03T19:30,58,Process hold,Severe,Delay log associated with Ladle Crane Gearbox.
DL-0052,EQ-012,2026-05-19T04:30,72,Inspection,Severe,Delay log associated with Cooling Tower Fan.
DL-0053,EQ-008,2026-06-12T19:00,62,Process hold,Severe,Delay log associated with Reheat Furnace Burner.
DL-0054,EQ-011,2026-06-19T14:00,145,Planned maintenance,Severe,Delay log associated with Lubrication Pump.
DL-0055,EQ-006,2026-06-23T11:00,109,Process hold,Minor,Delay log associated with Conveyor Drive Unit.
DL-0056,EQ-004,2026-05-02T17:30,94,Process hold,Moderate,Delay log associated with Ladle Crane Gearbox.
