log_id,equipment_id,maintenance_date,maintenance_type,symptom,action_taken,parts_replaced,downtime_minutes,technician_notes,linked_failure_report_id
ML-0001,EQ-012,2026-05-03,Inspection,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,11,Cooling Flow Restriction suspected on Cooling Tower Fan. Action followed SOP_cooling_flow_drop.,FR-001
ML-0002,EQ-012,2026-05-03,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,53,Bearing Wear suspected on Cooling Tower Fan. Action followed SOP_bearing_replacement.,FR-002
ML-0003,EQ-001,2026-05-04,Condition-Based,pressure drop with increasing pump temperature,"isolate pump, inspect suction strainer and seal kit, restore pressure before restart",SP-SEAL-001; SP-FILTER-001,63,Hydraulic Leakage suspected on Caster Hydraulic Pump. Action followed SOP_hydraulic_pump_overheating.,FR-003
ML-0004,EQ-004,2026-05-05,Corrective,oil level drop with heat buildup,"top up oil, inspect lubrication line, replace clogged filter, verify pump discharge",SP-OIL-001; SP-FILTER-003,169,Lubrication Failure suspected on Ladle Crane Gearbox. Action followed SOP_lubrication_failure_response.,FR-004
ML-0005,EQ-004,2026-05-05,Corrective,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001; SP-BOLT-001,131,Gearbox Misalignment suspected on Ladle Crane Gearbox. Action followed SOP_gearbox_vibration_inspection.,FR-005
ML-0006,EQ-010,2026-05-05,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,287,Bearing Wear suspected on Air Compressor. Action followed SOP_bearing_replacement.,FR-006
ML-0007,EQ-007,2026-05-06,Corrective,temperature rise with reduced coolant flow,"flush cooling line, clean strainer, verify flow rate before releasing equipment",SP-FILTER-002; SP-GASKET-001,158,Cooling Flow Restriction suspected on Dust Collector Fan. Action followed SOP_cooling_flow_drop.,FR-007
ML-0008,EQ-012,2026-05-06,Inspection,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,79,Bearing Wear suspected on Cooling Tower Fan. Action followed SOP_bearing_replacement.,FR-008
ML-0009,EQ-003,2026-05-06,Inspection,high vibration during load changes,"check alignment, inspect coupling, tighten foundation bolts, monitor vibration trend",SP-COUPLING-001; SP-BOLT-001,172,Gearbox Misalignment suspected on Blast Furnace Blower. Action followed SOP_gearbox_vibration_inspection.,FR-009
ML-0010,EQ-003,2026-05-06,Condition-Based,rising vibration and abnormal bearing noise,"inspect bearing housing, verify lubrication flow, replace bearing if vibration remains high",SP-BEAR-001; SP-GREASE-001,140,Bearing Wear suspected on Blast Furnace Blower. Action followed SOP_bearing_replacement.,FR-010
